title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Balcony watering systems,balcony-watering-systems,L1 pillar / hub,pillar,mixed,high,202.8,P1,Buyer guide: kits / systems,theme-derived,12,124,Buyer guide: kits / systems,Hub page that organizes the buyer guide: kits / systems lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony drip setup,balcony-drip-setup,L1 pillar / hub,pillar,mixed,high,177.2,P1,Drip setup and expansion,theme-derived,11,106,Drip setup and expansion,Hub page that organizes the drip setup and expansion lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
DIY balcony watering,diy-balcony-watering,L1 pillar / hub,pillar,mixed,medium,142.8,P1,Budget DIY watering,theme-derived,12,74,Budget DIY watering,Hub page that organizes the budget diy watering lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony watering automation,balcony-watering-automation,L1 pillar / hub,pillar,mixed,high,132.8,P1,Timers and automation,theme-derived,11,69,Timers and automation,Hub page that organizes the timers and automation lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Renter-friendly balcony watering,renter-friendly-balcony-watering,L1 pillar / hub,pillar,mixed,medium,113.6,P1,No tap / renter constraints,theme-derived,11,53,No tap / renter constraints,Hub page that organizes the no tap / renter constraints lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Vacation watering for balcony plants,vacation-watering-for-balcony-plants,L1 pillar / hub,pillar,mixed,medium,99.6,P1,Vacation / away watering,theme-derived,12,38,Vacation / away watering,Hub page that organizes the vacation / away watering lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony hose and soaker options,balcony-hose-and-soaker-options,L1 pillar / hub,pillar,mixed,medium,97.6,P1,Hose / soaker options,theme-derived,10,43,Hose / soaker options,Hub page that organizes the hose / soaker options lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony watering schedules,balcony-watering-schedules,L1 pillar / hub,pillar,mixed,medium,75.2,P1,Watering frequency and schedules,theme-derived,11,21,Watering frequency and schedules,Hub page that organizes the watering frequency and schedules lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
How Often Should You Water Balcony Plants?,how-often-should-you-water-balcony-plants,L3 support / problem solver,problem-solver,problem-aware,low,34.5,P1,Watering frequency and schedules,How Often Should You Water Balcony Plants?,6,6,"often, frequency, schedules, understanding, scheduling, practices","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Much Does a Basic Balcony Watering System Cost?,how-much-does-a-basic-balcony-watering-system-cost,L2 money page,buyer-guide,buyer,high,29.0,P1,Budget DIY watering,How Much Does a Basic Balcony Watering System Cost?,4,4,"much, budget, automatic, pricing, understand, options",Pricing explainer anchored to realistic small-space setups.,Link to recommended products and core buyer guides.,new,candidate
