slug,cluster,intent,primary_keyword,secondary_keywords,target_product_set,angle,publication_priority,affiliate_fit,status
best-drip-irrigation-kits-for-balcony-container-gardens,buying-guides,buyer,best drip irrigation kit for container garden,balcony drip irrigation kit; patio container watering kit; best drip kit for pots,drip-kits-core,Cornerstone buyer guide for the niche,1,high,live
balcony-drip-irrigation-without-a-faucet,accessories-resources,problem-aware,balcony drip irrigation without faucet,container drip irrigation from bucket; patio drip irrigation no spigot; reservoir-fed drip system,reservoir-solar-kits,Non-obvious setup path for renters and apartment dwellers,2,high,live
how-many-drip-emitters-per-pot-container-size-chart,troubleshooting,problem-aware,how many emitters per pot,how many drippers for container plants; emitters per planter; drippers for pots sizing,emitters-accessories,High-intent sizing guide that solves setup confusion,3,medium,live
why-your-container-drip-system-is-watering-unevenly,troubleshooting,problem-aware,drip system uneven watering pots,uneven drip irrigation in containers; some pots get too much water; low flow emitters,filters-pressure-emitters,High-anxiety troubleshooting article tied to common kit/accessory fixes,4,medium,live
solar-vs-faucet-timer-drip-systems-for-patio-plants,comparisons,comparison,solar vs faucet timer drip irrigation,solar drip irrigation kit vs hose timer; patio watering timer comparison,timers-solar-kits,Decision guide around the biggest balcony constraint,5,high,live
best-solar-drip-irrigation-kits-for-patios-and-balconies,buying-guides,buyer,best solar drip irrigation kit,solar drip irrigation for potted plants; balcony solar watering kit; patio solar drip system,solar-kits-core,Backup cornerstone buyer guide for no-faucet and vacation-use cases,6,high,live
adjustable-emitters-vs-button-drippers-for-container-gardens,comparisons,comparison,adjustable emitters vs button drippers,drippers for pots; best emitter type for container plants,emitters-accessories,Comparison built around plant size and pot mix rather than specs alone,7,medium,live
best-drip-setup-for-hanging-baskets-and-rail-planters,accessories-resources,problem-aware,drip irrigation for hanging baskets,hanging basket watering system; rail planter drip irrigation; micro drip for baskets,micro-tubing-emitters-stakes,Small-space-specific format piece with strong accessory adjacency,8,medium,live
vacation-watering-for-container-gardens-using-drip-irrigation,accessories-resources,buyer,vacation watering for potted plants drip irrigation,leave balcony plants for a week; automatic watering for patio plants while away,timers-reservoir-kits,Problem-first article with natural timer and kit placement,9,high,live
how-to-fix-clogged-drip-emitters-in-potted-plants,troubleshooting,problem-aware,how to fix clogged drip emitters,drippers not dripping; clean clogged emitters; patio drip troubleshooting,filters-emitters-cleaning,Support-style troubleshooting that can recommend filters and replacement packs,10,medium,live
container-drip-irrigation-maintenance-checklist-for-summer,maintenance,maintenance,container drip irrigation maintenance,patio drip maintenance; check emitters timer filter tubing,filters-connectors-timers,Evergreen maintenance hub that keeps links flowing to accessories,11,medium,live
do-you-need-a-filter-and-pressure-reducer-for-patio-drip-kits,buying-guides,problem-aware,filter and pressure reducer for drip irrigation,do i need pressure reducer for container drip; drip filter for patio pots,filters-pressure-regulators,Education-led buying guide tied to reliability and clog prevention,12,high,live
best-drip-irrigation-accessories-that-actually-help-container-gardens,accessories-resources,buyer,best drip irrigation accessories,drip kit accessories; patio drip add-ons; timer filter stakes connectors,accessories-core,Accessory roundup limited to real failure-point fixes,13,high,live
how-to-expand-a-patio-drip-kit-without-losing-pressure,troubleshooting,problem-aware,expand drip irrigation kit without losing pressure,add more pots to drip system; patio drip pressure drop; extend micro tubing,connectors-pressure-emitters,Upgrade/troubleshooting hybrid for growing container collections,14,medium,live
bucket-fed-vs-solar-pump-drip-systems-for-apartment-gardeners,comparisons,comparison,bucket-fed vs solar pump drip irrigation,reservoir drip irrigation comparison; apartment garden watering options,reservoir-solar-kits,Comparison for renters without hose access,15,medium,live
smart-watering-timers-for-balcony-and-patio-container-gardens,buying-guides,buyer,best watering timer for container garden,best hose timer for patio pots; smart timer for balcony plants,timers-core,Timer-specific guide for later monetization expansion,16,high,live
how-much-does-a-basic-balcony-watering-system-cost,buying-guides,buyer,balcony watering system cost,drip irrigation cost balcony; how much drip irrigation system; balcony watering budget,cost-and-budget,Pricing transparency article for buyer pre-qualification,17,high,live
diy-balcony-watering-system-for-renters,buying-guides,buyer,diy balcony watering system,diy drip irrigation balcony; renter watering system; build drip irrigation,budget-diy,DIY guide for renters building budget systems,18,high,live
how-to-set-up-a-gravity-fed-watering-system,how-to-guides,problem-aware,gravity fed watering system,bucket drip irrigation; gravity watering balcony; diy gravity system,budget-diy,Technical setup guide for gravity-fed systems,19,high,live
how-to-prevent-overwatering-with-automatic-systems,troubleshooting,problem-aware,prevent overwatering automatic system,overwatering container plants; too much water drip irrigation; timer overwatering,troubleshooting-and-maintenance,Problem-solver for overwatering with automatic systems,20,high,live
how-to-winterize-a-balcony-watering-system,maintenance,maintenance,winterize balcony watering system,winterize drip irrigation; freeze protection balcony; cold weather drip system,troubleshooting-and-maintenance,Seasonal winterization guide for cold climates,21,high,live
balcony-watering-systems-complete-guide,hub-pages,buyer,balcony watering systems,container garden watering; balcony irrigation options; patio watering systems,hub-page,Pillar hub page organizing all buyer guides and setup content,0,high,live
how-often-should-you-water-balcony-plants,troubleshooting,problem-aware,how often water balcony plants,watering frequency container plants; balcony plant schedule; when to water containers,watering-schedules,Problem-solver guide for watering frequency by season,23,medium,live
best-hose-timers-for-balcony-drip-irrigation,buying-guides,buyer,best hose timers balcony drip irrigation,hose timer drip system; automatic water timer balcony; programmable hose timer,timers-core,Buyer guide for hose timers in balcony drip systems,24,high,live
balcony-drip-irrigation-setup-guide,hub-pages,problem-aware,balcony drip irrigation setup,how to install drip irrigation balcony; set up patio drip system; container drip installation,setup-and-installation,Pillar hub page for setup and installation procedures,0,high,live
why-is-my-drip-system-not-working,troubleshooting,problem-aware,why is my drip system not working,drip irrigation not working; drip system stopped working; troubleshoot drip irrigation,troubleshooting-and-maintenance,High-intent troubleshooting guide covering 8 common failure modes,22,high,live
