title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Vacation watering for balcony plants,vacation-watering-for-balcony-plants,L1 pillar / hub,pillar,mixed,medium,41.6,P1,Vacation / away watering,theme-derived,2,23,Vacation / away watering,Hub page that organizes the vacation / away watering lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony watering systems,balcony-watering-systems,L1 pillar / hub,pillar,mixed,high,29.6,P1,Buyer guide: kits / systems,theme-derived,2,13,Buyer guide: kits / systems,Hub page that organizes the buyer guide: kits / systems lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
DIY balcony watering,diy-balcony-watering,L1 pillar / hub,pillar,mixed,medium,21.2,P2,Budget DIY watering,theme-derived,2,6,Budget DIY watering,Hub page that organizes the budget diy watering lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Renter-friendly balcony watering,renter-friendly-balcony-watering,L1 pillar / hub,pillar,mixed,medium,21.2,P2,No tap / renter constraints,theme-derived,2,6,No tap / renter constraints,Hub page that organizes the no tap / renter constraints lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony drip setup,balcony-drip-setup,L1 pillar / hub,pillar,mixed,high,20.0,P2,Drip setup and expansion,theme-derived,2,5,Drip setup and expansion,Hub page that organizes the drip setup and expansion lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony watering schedules,balcony-watering-schedules,L1 pillar / hub,pillar,mixed,medium,18.8,P3,Watering frequency and schedules,theme-derived,2,4,Watering frequency and schedules,Hub page that organizes the watering frequency and schedules lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Balcony watering automation,balcony-watering-automation,L1 pillar / hub,pillar,mixed,high,17.6,P3,Timers and automation,theme-derived,2,3,Timers and automation,Hub page that organizes the timers and automation lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
Automatic Watering System for Balcony Gardens,automatic-watering-system-for-balcony-gardens,L3 support / problem solver,guide,buyer,high,17.0,P3,Hose / soaker options,Automatic Watering System for Balcony Gardens,2,3,"automatic, hands, off, product, research, hose","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Keep Balcony Plants Alive While You're Away,how-to-keep-balcony-plants-alive-while-you-re-away,L3 support / problem solver,problem-solver,problem-aware,medium,16.0,P3,Vacation / away watering,How to Keep Balcony Plants Alive While You're Away,2,2,"vacation, away, keep, watered, solution, time",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Budget-Friendly Solutions for Watering Plants While Away,budget-friendly-solutions-for-watering-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,14.5,P3,Budget DIY watering,Budget-Friendly Solutions for Watering Plants While Away,1,1,"budget, cheap, options, free, solutions, friendly",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
